hour,clicks,rage_clicks,mouse_dist,mouse_area,ibi,bbr,loss_streak,loss_chasing,game_switches,label
4,19,2,538.8415966813218,17187.63206106583,289.76196530936113,0.43772151224555367,4,1,2,1
11,3,0,1180.3683183092726,362519.56600097753,9707.086023983706,0.00838807596065846,1,0,0,0
14,2,0,1124.1025984183757,319864.35513874015,6349.63469982911,0.012280565362810473,3,0,0,0
13,4,0,1295.9314151694293,267596.65891548287,4355.320731705114,0.029957861202844917,1,0,0,0
15,3,0,662.912134064882,204625.5216488976,3635.1284404614166,0.02167285452454499,2,0,0,0
3,11,10,281.56130285516383,30425.69068074692,1050.994599888594,0.10977759545054053,3,1,3,1
12,1,0,965.260106580505,418224.0389858449,4636.328244887089,0.008562664605035455,3,0,0,0
5,6,3,240.65014203417138,16452.891158219565,1002.1203223524019,0.1,2,1,0,1
0,6,4,575.8694724394079,15044.889012069621,1745.7162190798,0.1,5,1,2,1
19,2,0,1292.5449297365162,258545.38857122132,8196.837287742044,0.02718408476426985,3,0,0,0
12,2,0,2027.06724224945,361176.85069485765,3951.434767808196,0.03112836743549456,0,0,0,0
2,10,7,676.5501983380582,23583.764423272725,2039.3030803715872,0.10426698723237843,7,1,2,1
4,11,7,460.24882936139215,17443.12401544021,414.8992143515011,0.17026643019123558,2,1,2,1
3,15,8,290.513185019287,28750.569579175713,1689.3082653830481,0.14382510014643185,8,1,2,1
22,3,0,1116.01041545059,183770.83517991923,5327.72652150117,0.015243858523733833,2,0,1,0
1,10,7,381.9465609219167,26206.836608571368,2604.3291074573153,0.1,9,1,0,1
10,4,0,2002.0785360941782,347438.30389816925,5498.104411317297,0.024293740754062557,1,0,0,0
5,16,3,640.4080647223348,16232.138330016054,2643.845659632757,0.18807853533808633,9,0,2,1
23,12,10,84.74487835996638,37221.39997714293,2405.116383058381,0.29869695270191593,8,1,0,1
1,21,7,227.68933446538128,37689.98918974547,1486.68539624282,0.1,5,1,1,1
3,7,7,315.1708446026547,52872.3026192081,1563.824323868969,0.34897265060205745,6,1,2,1
16,1,0,1332.6399817116244,325325.8622267294,6467.250747308317,0.030352327547045456,2,0,0,0
15,4,0,300.0,376282.91455859144,7760.1287716171255,0.02620668415391327,3,0,1,0
0,9,11,634.0565998686217,44460.58196567312,1647.6153266279016,0.1905278890364844,10,1,0,1
14,1,0,1758.636625008899,407338.01151386305,7150.1706208792675,0.01436880851465638,2,0,0,0
4,24,2,365.94853013773104,40042.43822756452,997.9824936392649,0.5344154213132618,7,1,3,1
13,5,0,892.6293273895981,312892.33125499776,3938.496064979459,0.026238873312555734,2,0,0,0
0,18,9,399.69508367965466,16589.30887310337,1988.808593598219,0.1717127511167475,2,0,3,1
23,23,8,90.51557573494216,21446.99430309796,2259.533212111819,0.32025082417526907,3,1,1,1
2,19,6,273.66486199032124,35748.709244280355,1735.7583019242745,0.48558801646820676,4,1,3,1
15,1,0,919.7494519045695,345063.4339926806,4368.480380550725,0.02742436889301334,0,0,1,0
22,4,0,849.9487888157265,183978.29429672094,3017.3554309431997,0.03281723539594864,2,0,0,0
13,1,0,423.4507484069293,224359.60087322776,4525.343897960431,0.025403627172551218,3,1,0,0
21,4,0,1583.1707461344952,311148.4817151078,7076.076727849833,0.019857523691189802,0,0,0,0
23,11,8,696.689680099689,5263.909583208133,1654.806861122381,0.3592355630823262,10,1,2,1
16,2,0,950.5963946038665,375883.90563598287,6334.340025869946,0.022777825265043874,2,0,0,0
4,13,7,565.7109800241875,42574.89913285896,1631.281176148255,0.27697462704552867,10,1,3,1
15,5,0,677.2395084205128,230660.34630656586,5710.7240104248685,0.017075560719830005,0,0,0,0
14,2,0,1557.4592384489752,282988.1924768775,4369.975114309872,0.02955126523899075,2,0,0,0
23,11,11,436.0878077256457,34348.433792085496,750.8311093046209,0.28868571940251175,8,1,1,1
5,17,3,433.5601305583765,14604.216682851005,2287.3772427748245,0.20237548794574867,10,1,3,1
10,1,0,1041.0607872327555,287722.0472720662,7867.146670896596,0.02315274070949333,1,0,0,0
23,14,9,183.61408539849106,24041.122584201123,583.5187813592803,0.26908685323863996,4,1,3,1
20,2,0,1179.3938661182108,261946.02719489485,6132.614158258871,0.010974791609860573,0,0,1,0
1,21,5,563.0143957320124,33355.03748698508,1278.8606789177707,0.1,10,0,3,1
21,4,0,1019.0207176865572,519278.96822643734,4850.198293899121,0.020741755012471975,1,0,0,0
20,5,0,1475.6827478596306,474566.9028672987,7026.864822998659,0.022265946245443098,1,0,0,0
15,1,0,2007.4899651888945,368192.3003217393,8762.690536422415,0.027079243501566493,0,0,1,0
20,2,0,1234.3706437329624,321224.3487946146,3858.636781613236,0.01586417676343247,2,0,0,0
21,3,0,1130.1272333642014,292835.95871090767,6404.925636838507,0.01988082314862382,1,0,1,0
16,4,0,500.78618514559776,370305.5201590058,3000.0,0.009908130783279288,1,0,1,0
1,23,4,306.02389959698274,42233.27773405805,2280.599430190491,0.2573223610738893,6,1,3,1
11,1,0,816.759674535122,279993.25943961786,8820.923652715968,0.00920935144964877,1,0,0,0
5,21,9,647.3427096267533,25313.156572356398,1833.4502383913646,0.5925728091745215,8,1,2,1
21,5,0,1157.2565196843568,290191.458760373,6998.237296254472,0.012574134027769327,2,0,1,0
4,20,6,558.1050647041945,1000.0,2066.49502721165,0.5375048251118304,4,1,2,1
17,2,0,2074.0107714577716,444657.6453501786,4581.301508346318,0.019745388892355085,2,0,0,0
